gene_id	reads_per_gene	transcript	reads_per_transcript
ENSG00000000003.15	2	ENST00000373020.9	2
ENSG00000000419.13	6	ENST00000371588.10	5
ENSG00000000419.13	6	ENST00000494752.1	1
ENSG00000000457.14	21	ENST00000367770.5	3
ENSG00000000457.14	21	ENST00000367771.11	17
ENSG00000000457.14	21	ENST00000470238.1	1
ENSG00000000938.13	352	ENST00000374003.7	50
ENSG00000000938.13	352	ENST00000374004.5	196
ENSG00000000938.13	352	ENST00000374005.8	64
ENSG00000000938.13	352	ENST00000399173.5	41
ENSG00000000938.13	352	ENST00000468038.1	1
ENSG00000000971.16	4	ENST00000630130.2	4
ENSG00000001036.14	78	ENST00000002165.11	74
ENSG00000001036.14	78	ENST00000367585.1	4
ENSG00000001084.13	17	ENST00000509541.5	4
ENSG00000001084.13	17	ENST00000510837.5	1
ENSG00000001084.13	17	ENST00000513939.6	3
ENSG00000001084.13	17	ENST00000515580.1	1
ENSG00000001084.13	17	ENST00000643939.1	2
ENSG00000001084.13	17	ENST00000650454.1	6
ENSG00000001167.14	9	ENST00000341376.10	2
ENSG00000001167.14	9	ENST00000353205.5	7
ENSG00000001460.18	3	ENST00000003583.12	1
ENSG00000001460.18	3	ENST00000337248.9	2
ENSG00000001461.17	544	ENST00000003912.7	11
ENSG00000001461.17	544	ENST00000339255.2	7
ENSG00000001461.17	544	ENST00000358028.8	22
ENSG00000001461.17	544	ENST00000374399.9	468
ENSG00000001461.17	544	ENST00000475663.2	4
ENSG00000001461.17	544	ENST00000488155.1	32
ENSG00000001497.17	60	ENST00000374807.9	52
ENSG00000001497.17	60	ENST00000374811.8	8
ENSG00000001561.7	2	ENST00000321037.5	2
ENSG00000001629.10	4	ENST00000265742.8	3
ENSG00000001629.10	4	ENST00000413588.1	1
ENSG00000001630.17	16	ENST00000003100.13	12
ENSG00000001630.17	16	ENST00000422867.1	1
ENSG00000001630.17	16	ENST00000450723.5	3
ENSG00000001631.16	23	ENST00000394505.7	5
ENSG00000001631.16	23	ENST00000412043.6	5
ENSG00000001631.16	23	ENST00000425919.5	2
ENSG00000001631.16	23	ENST00000452773.5	1
ENSG00000001631.16	23	ENST00000470309.5	1
ENSG00000001631.16	23	ENST00000475770.5	9
ENSG00000002016.18	3	ENST00000358495.8	2
ENSG00000002016.18	3	ENST00000542297.1	1
ENSG00000002330.14	65	ENST00000309032.8	58
ENSG00000002330.14	65	ENST00000394531.3	4
ENSG00000002330.14	65	ENST00000394532.7	3
ENSG00000002549.12	160	ENST00000503467.1	5
ENSG00000002549.12	160	ENST00000606142.5	155
ENSG00000002586.20	70	ENST00000381192.10	63
ENSG00000002586.20	70	ENST00000497752.7	1
ENSG00000002586.20	70	ENST00000624481.4	6
ENSG00000002586.20_PAR_Y	72	ENST00000381192.10_PAR_Y	68
ENSG00000002586.20_PAR_Y	72	ENST00000624481.4_PAR_Y	3
ENSG00000002586.20_PAR_Y	72	ENST00000645950.1_PAR_Y	1
ENSG00000002587.10	2	ENST00000002596.6	2
ENSG00000002726.21	4	ENST00000360937.9	4
ENSG00000002745.13	2	ENST00000222462.3	2
ENSG00000002822.15	12	ENST00000265854.11	3
ENSG00000002822.15	12	ENST00000399654.6	6
ENSG00000002822.15	12	ENST00000406869.5	3
ENSG00000002834.18	18	ENST00000318008.11	3
ENSG00000002834.18	18	ENST00000435347.7	1
ENSG00000002834.18	18	ENST00000443937.7	10
ENSG00000002834.18	18	ENST00000579123.1	3
ENSG00000002834.18	18	ENST00000584106.1	1
ENSG00000002919.15	41	ENST00000359238.7	29
ENSG00000002919.15	41	ENST00000393405.6	2
ENSG00000002919.15	41	ENST00000582104.5	2
ENSG00000002919.15	41	ENST00000584335.5	8
ENSG00000002933.9	9	ENST00000004103.8	8
ENSG00000002933.9	9	ENST00000468689.2	1
ENSG00000003056.8	289	ENST00000000412.8	280
ENSG00000003056.8	289	ENST00000543159.1	4
ENSG00000003056.8	289	ENST00000543704.5	5
ENSG00000003096.14	1	ENST00000371882.5	1
ENSG00000003147.19	13	ENST00000317367.9	1
ENSG00000003147.19	13	ENST00000402384.8	5
ENSG00000003147.19	13	ENST00000407906.5	1
ENSG00000003147.19	13	ENST00000422063.6	6
ENSG00000003249.14	1	ENST00000568662.2	1
ENSG00000003393.15	11	ENST00000264276.11	6
ENSG00000003393.15	11	ENST00000439495.5	3
ENSG00000003393.15	11	ENST00000482789.5	2
ENSG00000003400.15	1	ENST00000374650.7	1
ENSG00000003402.20	152	ENST00000309955.8	50
ENSG00000003402.20	152	ENST00000341222.10	16
ENSG00000003402.20	152	ENST00000342795.9	6
ENSG00000003402.20	152	ENST00000395148.6	17
ENSG00000003402.20	152	ENST00000417748.1	3
ENSG00000003402.20	152	ENST00000423241.6	39
ENSG00000003402.20	152	ENST00000439154.6	5
ENSG00000003402.20	152	ENST00000440180.5	1
