gene.id,chr,start,end,length,mean,median,sd,q0,q25,q50,q75,q100
ENSG00000223972.5,chr1,11868,14409,2541,8.08,4,10.65,1,3,4,8,50
ENSG00000227232.5,chr1,14403,29570,15167,47.7,48,33.4,3,12,48,60,171
ENSG00000278267.1,chr1,17368,17436,68,148.69,149,1.44,146,148,149,150,151
ENSG00000243485.5,chr1,29553,31109,1556,8.6,8,0.66,8,8,8,9,10
ENSG00000284332.1,chr1,30365,30503,138,NaN,,,,,,,
ENSG00000237613.2,chr1,34553,36081,1528,NaN,,,,,,,
ENSG00000268020.3,chr1,52472,53312,840,NaN,,,,,,,
ENSG00000240361.2,chr1,57597,64116,6519,NaN,,,,,,,
ENSG00000186092.6,chr1,65418,71585,6167,NaN,,,,,,,
ENSG00000238009.6,chr1,89294,133723,44429,10.3,9,4.03,7,8,9,10,28
ENSG00000239945.1,chr1,89550,91105,1555,8.7,8,1.82,7,7,8,10,15
ENSG00000233750.3,chr1,131024,134836,3812,14.66,13,6.6,8,8,13,20,32
ENSG00000268903.1,chr1,135140,135895,755,100.03,45,112.21,12,26,45,130,393
ENSG00000269981.1,chr1,137681,137965,284,331.91,349,60.55,197,304,349,383,421
ENSG00000239906.1,chr1,139789,140339,550,70.75,76,10.19,41,65,76,78,83
ENSG00000241860.7,chr1,141473,173862,32389,70.54,47,50.95,41,41,47,83,250
ENSG00000222623.1,chr1,157783,157887,104,48,48,0,48,48,48,48,48
ENSG00000241599.1,chr1,160445,161525,1080,NaN,,,,,,,
ENSG00000279928.2,chr1,182695,184174,1479,49.64,49,1.49,47,49,49,50,55
ENSG00000279457.4,chr1,185216,195411,10195,80.57,54,69.84,38,48,54,66,302
ENSG00000273874.1,chr1,187890,187958,68,55.32,56,1.04,54,54,56,56,57
ENSG00000228463.10,chr1,257863,359681,101818,40.29,39,2.46,36,39,39,40,49
ENSG00000286448.1,chr1,266854,268655,1801,40.32,39,2.38,37,39,39,41,48
ENSG00000236679.2,chr1,347981,348366,385,39.36,39,0.48,39,39,39,40,40
ENSG00000236601.2,chr1,358856,366052,7196,39.05,39,0.31,39,39,39,39,41
ENSG00000237094.12,chr1,365388,522928,157540,51.33,39,35.01,37,39,39,39,383
ENSG00000269732.1,chr1,439869,440232,363,39,39,0,39,39,39,39,39
ENSG00000284733.1,chr1,450702,451697,995,39,39,0,39,39,39,39,39
ENSG00000233653.3,chr1,487100,489906,2806,45.72,46,3.32,42,42,46,46,56
ENSG00000250575.1,chr1,491224,493241,2017,113.27,89,63.19,50,71,89,142,383
ENSG00000278757.1,chr1,516375,516479,104,116.05,117,3.34,109,115,117,120,120
ENSG00000230021.10,chr1,586070,827796,241726,91.58,80,233.88,13,80,80,82,6137
ENSG00000235146.2,chr1,587628,594768,7140,NaN,,,,,,,
ENSG00000225972.1,chr1,629061,629433,372,205.33,212,90.77,82,107,212,282,358
ENSG00000225630.1,chr1,629639,630683,1044,4347.78,4948,1597.95,259,4286.5,4948,5230.5,5773
ENSG00000237973.1,chr1,631073,632616,1543,1052.82,211,1190.29,82,86,211,2034.5,3972
ENSG00000278791.1,chr1,632324,632413,89,88.38,88,3.16,83,86,88,91,93
ENSG00000229344.1,chr1,632756,633438,682,NaN,,,,,,,
ENSG00000240409.1,chr1,633534,633741,207,NaN,,,,,,,
ENSG00000248527.1,chr1,633695,634376,681,1757.54,1101,1953.55,121,190,1101,2136.5,6137
ENSG00000198744.5,chr1,634375,634922,547,140.09,102,77.99,80,91,102,140,307
ENSG00000268663.1,chr1,674841,675265,424,80,80,0,80,80,80,80,80
ENSG00000284662.1,chr1,685678,686673,995,80.1,80,0.31,80,80,80,80,81
ENSG00000229376.3,chr1,722091,724903,2812,84.37,84,3.7,80,81,84,87,95
ENSG00000228327.3,chr1,725884,778626,52742,74.54,74,44.6,19,32,74,103,408
ENSG00000223181.1,chr1,758232,758336,104,NaN,,,,,,,
ENSG00000229905.1,chr1,760910,761989,1079,NaN,,,,,,,
ENSG00000237491.10,chr1,778746,810065,31319,13.96,13,1.45,13,13,13,14,21
ENSG00000285268.1,chr1,781936,782050,114,NaN,,,,,,,
ENSG00000230092.7,chr1,800878,817712,16834,18.05,18,0.75,17,18,18,19,21
ENSG00000177757.2,chr1,817370,819837,2467,NaN,,,,,,,
ENSG00000228794.10,chr1,825137,859446,34309,6.02,5,3.18,2,3,5,9,15
ENSG00000225880.5,chr1,826205,827522,1317,NaN,,,,,,,
ENSG00000288531.1,chr1,860225,868202,7977,2.06,2,0.23,2,2,2,2,3
