gene_id	reads_per_gene	transcript	reads_per_transcript
ENSG00000000003.15	173	ENST00000373020.9	173
ENSG00000000419.13	23	ENST00000371588.10	20
ENSG00000000419.13	23	ENST00000413082.1	3
ENSG00000000457.14	21	ENST00000367770.5	2
ENSG00000000457.14	21	ENST00000367771.11	17
ENSG00000000457.14	21	ENST00000470238.1	2
ENSG00000000460.17	10	ENST00000286031.10	4
ENSG00000000460.17	10	ENST00000413811.3	5
ENSG00000000460.17	10	ENST00000496973.5	1
ENSG00000001036.14	65	ENST00000002165.11	62
ENSG00000001036.14	65	ENST00000367585.1	3
ENSG00000001084.13	32	ENST00000509541.5	3
ENSG00000001084.13	32	ENST00000514004.5	1
ENSG00000001084.13	32	ENST00000650454.1	28
ENSG00000001167.14	26	ENST00000353205.5	26
ENSG00000001460.18	21	ENST00000003583.12	3
ENSG00000001460.18	21	ENST00000337248.9	18
ENSG00000001461.17	6	ENST00000339255.2	2
ENSG00000001461.17	6	ENST00000374399.9	4
ENSG00000001497.17	173	ENST00000374804.9	2
ENSG00000001497.17	173	ENST00000374807.9	145
ENSG00000001497.17	173	ENST00000374811.8	26
ENSG00000001561.7	19	ENST00000321037.5	19
ENSG00000001626.16	2	ENST00000003084.11	1
ENSG00000001626.16	2	ENST00000649781.1	1
ENSG00000001629.10	26	ENST00000265742.8	19
ENSG00000001629.10	26	ENST00000422095.1	7
ENSG00000001630.17	202	ENST00000003100.13	121
ENSG00000001630.17	202	ENST00000422867.1	9
ENSG00000001630.17	202	ENST00000450723.5	69
ENSG00000001630.17	202	ENST00000482924.1	3
ENSG00000001631.16	12	ENST00000394505.7	2
ENSG00000001631.16	12	ENST00000412043.6	2
ENSG00000001631.16	12	ENST00000425919.5	1
ENSG00000001631.16	12	ENST00000452773.5	1
ENSG00000001631.16	12	ENST00000475770.5	6
ENSG00000002016.18	2	ENST00000358495.8	1
ENSG00000002016.18	2	ENST00000542297.1	1
ENSG00000002330.14	35	ENST00000309032.8	21
ENSG00000002330.14	35	ENST00000394532.7	13
ENSG00000002330.14	35	ENST00000493798.1	1
ENSG00000002549.12	75	ENST00000503467.1	1
ENSG00000002549.12	75	ENST00000606142.5	70
ENSG00000002549.12	75	ENST00000618908.4	4
ENSG00000002586.20	5	ENST00000381187.8	1
ENSG00000002586.20	5	ENST00000381192.10	4
ENSG00000002586.20_PAR_Y	2	ENST00000381192.10_PAR_Y	2
ENSG00000002746.15	1	ENST00000395891.7	1
ENSG00000002822.15	19	ENST00000265854.11	5
ENSG00000002822.15	19	ENST00000399654.6	10
ENSG00000002822.15	19	ENST00000406869.5	3
ENSG00000002822.15	19	ENST00000450235.5	1
ENSG00000002834.18	140	ENST00000318008.11	91
ENSG00000002834.18	140	ENST00000435347.7	8
ENSG00000002834.18	140	ENST00000443937.7	41
ENSG00000002919.15	34	ENST00000359238.7	27
ENSG00000002919.15	34	ENST00000393405.6	2
ENSG00000002919.15	34	ENST00000582104.5	5
ENSG00000002933.9	1	ENST00000484928.5	1
ENSG00000003056.8	270	ENST00000000412.8	266
ENSG00000003056.8	270	ENST00000543159.1	1
ENSG00000003056.8	270	ENST00000543704.5	3
ENSG00000003096.14	26	ENST00000371876.5	7
ENSG00000003096.14	26	ENST00000371882.5	10
ENSG00000003096.14	26	ENST00000540167.5	8
ENSG00000003096.14	26	ENST00000545703.5	1
ENSG00000003147.19	12	ENST00000265577.11	1
ENSG00000003147.19	12	ENST00000402384.8	4
ENSG00000003147.19	12	ENST00000406470.6	5
ENSG00000003147.19	12	ENST00000407906.5	1
ENSG00000003147.19	12	ENST00000422063.6	1
ENSG00000003249.14	35	ENST00000002501.11	7
ENSG00000003249.14	35	ENST00000392973.8	5
ENSG00000003249.14	35	ENST00000568662.2	1
ENSG00000003249.14	35	ENST00000568838.1	22
ENSG00000003393.15	51	ENST00000264276.11	32
ENSG00000003393.15	51	ENST00000409632.6	1
ENSG00000003393.15	51	ENST00000439495.5	2
ENSG00000003393.15	51	ENST00000462747.1	1
ENSG00000003393.15	51	ENST00000467448.5	3
ENSG00000003393.15	51	ENST00000482789.5	6
ENSG00000003393.15	51	ENST00000482891.5	6
ENSG00000003400.15	3	ENST00000286186.11	1
ENSG00000003400.15	3	ENST00000346817.9	1
ENSG00000003400.15	3	ENST00000374650.7	1
ENSG00000003402.20	2	ENST00000309955.8	1
ENSG00000003402.20	2	ENST00000341222.10	1
ENSG00000003509.16	27	ENST00000002125.9	23
ENSG00000003509.16	27	ENST00000474154.5	3
ENSG00000003509.16	27	ENST00000474257.5	1
ENSG00000003756.17	95	ENST00000347869.8	70
ENSG00000003756.17	95	ENST00000417905.1	2
ENSG00000003756.17	95	ENST00000464087.6	3
ENSG00000003756.17	95	ENST00000469838.5	19
ENSG00000003756.17	95	ENST00000489437.1	1
ENSG00000003987.14	8	ENST00000180173.10	6
ENSG00000003987.14	8	ENST00000519590.5	1
ENSG00000003987.14	8	ENST00000521857.5	1
ENSG00000003989.18	7	ENST00000494857.6	1
ENSG00000003989.18	7	ENST00000640220.1	6
ENSG00000004059.11	34	ENST00000000233.10	34
ENSG00000004139.14	2	ENST00000577870.2	1
ENSG00000004139.14	2	ENST00000585453.5	1
ENSG00000004142.12	13	ENST00000540200.6	5
ENSG00000004142.12	13	ENST00000618887.2	8
ENSG00000004399.13	5	ENST00000324093.9	4
ENSG00000004399.13	5	ENST00000512744.5	1
ENSG00000004455.17	115	ENST00000373449.7	79
ENSG00000004455.17	115	ENST00000467905.5	3
ENSG00000004455.17	115	ENST00000487289.1	5
ENSG00000004455.17	115	ENST00000548033.5	1
ENSG00000004455.17	115	ENST00000550338.5	1
ENSG00000004455.17	115	ENST00000672715.1	26
ENSG00000004478.8	46	ENST00000001008.6	46
ENSG00000004487.17	53	ENST00000356634.7	26
ENSG00000004487.17	53	ENST00000400181.9	19
ENSG00000004487.17	53	ENST00000465864.2	3
ENSG00000004487.17	53	ENST00000494920.1	5
ENSG00000004534.15	58	ENST00000266022.9	36
ENSG00000004534.15	58	ENST00000425608.5	2
ENSG00000004534.15	58	ENST00000442092.5	10
ENSG00000004534.15	58	ENST00000443081.5	8
ENSG00000004534.15	58	ENST00000454079.5	1
ENSG00000004534.15	58	ENST00000493652.1	1
ENSG00000004660.15	1	ENST00000381769.6	1
ENSG00000004700.16	76	ENST00000396093.7	1
ENSG00000004700.16	76	ENST00000421138.6	39
ENSG00000004700.16	76	ENST00000444129.7	36
ENSG00000004766.17	31	ENST00000305866.10	16
ENSG00000004766.17	31	ENST00000441602.5	2
ENSG00000004766.17	31	ENST00000458707.1	1
ENSG00000004766.17	31	ENST00000649152.1	12
ENSG00000004777.18	2	ENST00000007510.8	1
ENSG00000004777.18	2	ENST00000314737.9	1
ENSG00000004779.10	58	ENST00000007516.8	57
ENSG00000004779.10	58	ENST00000484769.1	1
ENSG00000004809.14	1	ENST00000368919.8	1
ENSG00000004864.14	264	ENST00000265631.10	261
ENSG00000004864.14	264	ENST00000416240.6	3
ENSG00000004866.21	6	ENST00000265437.9	1
ENSG00000004866.21	6	ENST00000323984.7	1
ENSG00000004866.21	6	ENST00000393447.8	2
ENSG00000004866.21	6	ENST00000393451.7	1
ENSG00000004866.21	6	ENST00000446490.5	1
ENSG00000004897.12	26	ENST00000066544.8	2
ENSG00000004897.12	26	ENST00000525495.6	3
ENSG00000004897.12	26	ENST00000527547.5	18
ENSG00000004897.12	26	ENST00000531206.5	1
ENSG00000004897.12	26	ENST00000533415.5	2
ENSG00000004961.15	45	ENST00000321143.8	1
ENSG00000004961.15	45	ENST00000380762.5	41
ENSG00000004961.15	45	ENST00000380763.7	3
ENSG00000004975.12	70	ENST00000005340.10	57
ENSG00000004975.12	70	ENST00000575086.1	4
ENSG00000004975.12	70	ENST00000575458.5	9
ENSG00000005007.13	3	ENST00000262803.10	1
ENSG00000005007.13	3	ENST00000596842.5	1
ENSG00000005007.13	3	ENST00000600868.5	1
ENSG00000005020.13	4	ENST00000345317.7	4
ENSG00000005022.6	692	ENST00000317881.9	689
ENSG00000005022.6	692	ENST00000460013.1	3
ENSG00000005075.15	5	ENST00000292614.9	5
ENSG00000005100.13	6	ENST00000225296.8	4
ENSG00000005100.13	6	ENST00000572490.1	1
ENSG00000005100.13	6	ENST00000574023.1	1
ENSG00000005108.16	2	ENST00000617773.1	2
ENSG00000005156.12	136	ENST00000262327.9	9
ENSG00000005156.12	136	ENST00000378526.9	127
ENSG00000005175.10	56	ENST00000005386.8	43
ENSG00000005175.10	56	ENST00000380650.4	9
ENSG00000005175.10	56	ENST00000432584.7	4
ENSG00000005187.12	8	ENST00000289416.10	6
ENSG00000005187.12	8	ENST00000440284.6	2
ENSG00000005189.19	5	ENST00000261377.10	2
ENSG00000005189.19	5	ENST00000348433.10	2
ENSG00000005189.19	5	ENST00000564274.5	1
ENSG00000005194.15	243	ENST00000394391.9	207
ENSG00000005194.15	243	ENST00000567518.5	29
ENSG00000005194.15	243	ENST00000567751.5	1
ENSG00000005194.15	243	ENST00000568940.5	1
ENSG00000005194.15	243	ENST00000569370.5	5
ENSG00000005206.17	12	ENST00000610743.4	4
ENSG00000005206.17	12	ENST00000613503.5	5
ENSG00000005206.17	12	ENST00000618220.4	2
ENSG00000005206.17	12	ENST00000622308.4	1
ENSG00000005238.20	7	ENST00000322813.10	1
ENSG00000005238.20	7	ENST00000378557.1	4
ENSG00000005238.20	7	ENST00000378566.5	2
ENSG00000005249.13	6	ENST00000265717.5	6
ENSG00000005302.19	11	ENST00000312196.10	4
ENSG00000005302.19	11	ENST00000647701.1	1
ENSG00000005302.19	11	ENST00000648013.1	2
ENSG00000005302.19	11	ENST00000649078.1	1
ENSG00000005302.19	11	ENST00000649602.1	1
ENSG00000005302.19	11	ENST00000649684.1	1
ENSG00000005302.19	11	ENST00000649851.1	1
ENSG00000005339.15	11	ENST00000262367.10	3
ENSG00000005339.15	11	ENST00000382070.7	5
ENSG00000005339.15	11	ENST00000570939.2	3
ENSG00000005436.14	5	ENST00000321027.8	2
ENSG00000005436.14	5	ENST00000470197.5	1
ENSG00000005436.14	5	ENST00000472230.5	2
ENSG00000005448.17	34	ENST00000348227.4	27
ENSG00000005448.17	34	ENST00000480089.5	7
ENSG00000005469.12	5	ENST00000331536.8	2
ENSG00000005469.12	5	ENST00000412227.6	1
ENSG00000005469.12	5	ENST00000419147.6	2
ENSG00000005483.21	30	ENST00000257745.8	12
ENSG00000005483.21	30	ENST00000334884.9	2
ENSG00000005483.21	30	ENST00000476671.5	10
ENSG00000005483.21	30	ENST00000495267.5	4
ENSG00000005483.21	30	ENST00000622386.1	2
ENSG00000005486.17	57	ENST00000006777.11	40
ENSG00000005486.17	57	ENST00000454791.1	17
ENSG00000005700.15	121	ENST00000306270.12	23
ENSG00000005700.15	121	ENST00000369751.2	68
ENSG00000005700.15	121	ENST00000445419.6	5
ENSG00000005700.15	121	ENST00000471036.1	2
ENSG00000005700.15	121	ENST00000503400.5	13
ENSG00000005700.15	121	ENST00000503631.5	5
ENSG00000005700.15	121	ENST00000508381.1	1
ENSG00000005700.15	121	ENST00000510291.5	4
ENSG00000005801.18	51	ENST00000005082.13	6
ENSG00000005801.18	51	ENST00000354599.10	30
ENSG00000005801.18	51	ENST00000429541.6	8
ENSG00000005801.18	51	ENST00000438262.6	1
ENSG00000005801.18	51	ENST00000526601.5	6
ENSG00000005810.18	18	ENST00000357337.10	14
ENSG00000005810.18	18	ENST00000429715.1	3
ENSG00000005810.18	18	ENST00000612956.4	1
ENSG00000005812.11	1	ENST00000355619.10	1
ENSG00000005882.12	13	ENST00000007708.7	1
ENSG00000005882.12	13	ENST00000503176.6	11
ENSG00000005882.12	13	ENST00000506647.1	1
ENSG00000005884.18	5	ENST00000320031.13	5
ENSG00000005889.15	5	ENST00000304543.9	3
ENSG00000005889.15	5	ENST00000338565.3	1
ENSG00000005889.15	5	ENST00000379177.5	1
ENSG00000005893.16	63	ENST00000200639.9	48
ENSG00000005893.16	63	ENST00000371335.4	14
ENSG00000005893.16	63	ENST00000486593.5	1
ENSG00000005961.19	1	ENST00000262407.6	1
ENSG00000006007.12	53	ENST00000353258.8	46
ENSG00000006007.12	53	ENST00000564172.1	7
ENSG00000006042.12	114	ENST00000394642.7	12
ENSG00000006042.12	114	ENST00000439138.5	15
ENSG00000006042.12	114	ENST00000579849.6	87
ENSG00000006047.13	3	ENST00000007699.10	2
ENSG00000006047.13	3	ENST00000571485.5	1
ENSG00000006062.17	4	ENST00000344686.8	3
ENSG00000006062.17	4	ENST00000376926.8	1
ENSG00000006125.18	353	ENST00000610402.5	75
ENSG00000006125.18	353	ENST00000612116.5	4
ENSG00000006125.18	353	ENST00000614600.4	1
ENSG00000006125.18	353	ENST00000616784.4	1
ENSG00000006125.18	353	ENST00000618940.4	61
ENSG00000006125.18	353	ENST00000620039.4	42
ENSG00000006125.18	353	ENST00000621914.4	169
ENSG00000006128.12	5	ENST00000319273.10	3
ENSG00000006128.12	5	ENST00000346867.4	2
ENSG00000006194.10	3	ENST00000219069.6	2
ENSG00000006194.10	3	ENST00000575823.1	1
ENSG00000006210.7	1	ENST00000006053.7	1
ENSG00000006282.21	7	ENST00000006658.11	1
ENSG00000006282.21	7	ENST00000503127.5	1
ENSG00000006282.21	7	ENST00000634597.1	5
ENSG00000006327.14	3	ENST00000341627.5	2
ENSG00000006327.14	3	ENST00000571351.1	1
ENSG00000006432.15	5	ENST00000381250.8	4
ENSG00000006432.15	5	ENST00000611979.4	1
ENSG00000006451.8	129	ENST00000005257.7	125
ENSG00000006451.8	129	ENST00000468201.1	4
ENSG00000006453.14	5	ENST00000005260.9	5
ENSG00000006459.11	3	ENST00000397560.7	2
ENSG00000006459.11	3	ENST00000478996.1	1
ENSG00000006468.14	63	ENST00000403527.5	9
ENSG00000006468.14	63	ENST00000403685.5	1
ENSG00000006468.14	63	ENST00000405218.6	31
ENSG00000006468.14	63	ENST00000405358.8	2
ENSG00000006468.14	63	ENST00000430479.6	20
ENSG00000006530.18	43	ENST00000473247.5	1
ENSG00000006530.18	43	ENST00000648068.1	9
ENSG00000006530.18	43	ENST00000649014.1	1
ENSG00000006530.18	43	ENST00000649286.2	24
ENSG00000006530.18	43	ENST00000650365.1	7
ENSG00000006530.18	43	ENST00000650547.1	1
ENSG00000006576.16	19	ENST00000248550.7	11
ENSG00000006576.16	19	ENST00000307305.12	4
ENSG00000006576.16	19	ENST00000415251.6	1
ENSG00000006576.16	19	ENST00000424760.5	3
ENSG00000006607.14	4	ENST00000413432.2	1
ENSG00000006607.14	4	ENST00000479427.5	2
ENSG00000006607.14	4	ENST00000627550.2	1
ENSG00000006625.18	126	ENST00000275428.9	88
ENSG00000006625.18	126	ENST00000426081.5	1
ENSG00000006625.18	126	ENST00000440082.5	36
ENSG00000006625.18	126	ENST00000447901.1	1
ENSG00000006634.8	45	ENST00000265728.6	29
ENSG00000006634.8	45	ENST00000430279.5	1
ENSG00000006634.8	45	ENST00000431138.5	13
ENSG00000006634.8	45	ENST00000498144.5	2
ENSG00000006652.15	155	ENST00000005558.8	1
ENSG00000006652.15	155	ENST00000403825.8	144
ENSG00000006652.15	155	ENST00000535603.5	8
ENSG00000006652.15	155	ENST00000675041.1	1
ENSG00000006652.15	155	ENST00000675717.1	1
ENSG00000006695.12	67	ENST00000261643.8	63
ENSG00000006695.12	67	ENST00000581931.5	2
ENSG00000006695.12	67	ENST00000670279.1	2
ENSG00000006704.10	26	ENST00000265755.7	10
ENSG00000006704.10	26	ENST00000424337.6	15
ENSG00000006704.10	26	ENST00000476977.5	1
ENSG00000006712.15	29	ENST00000221265.8	28
ENSG00000006712.15	29	ENST00000595564.5	1
ENSG00000006715.16	154	ENST00000310301.9	128
ENSG00000006715.16	154	ENST00000395969.6	18
ENSG00000006715.16	154	ENST00000439468.1	1
ENSG00000006715.16	154	ENST00000448833.5	3
ENSG00000006715.16	154	ENST00000482217.1	2
ENSG00000006715.16	154	ENST00000490924.1	2
ENSG00000006740.17	1	ENST00000544416.6	1
ENSG00000006744.19	25	ENST00000338034.9	1
ENSG00000006744.19	25	ENST00000395962.6	6
ENSG00000006744.19	25	ENST00000426905.7	1
ENSG00000006744.19	25	ENST00000465825.5	3
ENSG00000006744.19	25	ENST00000480891.5	9
ENSG00000006744.19	25	ENST00000487229.6	5
ENSG00000006747.15	1	ENST00000297029.10	1
ENSG00000006757.12	18	ENST00000381042.9	18
ENSG00000006831.10	14	ENST00000357103.5	14
ENSG00000006837.12	1	ENST00000523054.5	1
ENSG00000007062.12	37	ENST00000505450.5	18
ENSG00000007062.12	37	ENST00000508167.5	4
ENSG00000007062.12	37	ENST00000510224.5	14
ENSG00000007062.12	37	ENST00000513946.2	1
ENSG00000007080.11	93	ENST00000445755.7	79
ENSG00000007080.11	93	ENST00000597436.5	14
ENSG00000007168.14	93	ENST00000397193.7	6
ENSG00000007168.14	93	ENST00000397195.10	59
ENSG00000007168.14	93	ENST00000571495.2	11
ENSG00000007168.14	93	ENST00000610190.2	3
ENSG00000007168.14	93	ENST00000674608.1	1
ENSG00000007168.14	93	ENST00000674717.1	1
ENSG00000007168.14	93	ENST00000675202.1	2
ENSG00000007168.14	93	ENST00000675385.1	2
ENSG00000007168.14	93	ENST00000675390.1	7
ENSG00000007168.14	93	ENST00000675621.1	1
ENSG00000007171.18	2	ENST00000646938.1	2
ENSG00000007174.18	1	ENST00000396001.6	1
ENSG00000007202.15	13	ENST00000389003.7	1
ENSG00000007202.15	13	ENST00000528896.7	1
ENSG00000007202.15	13	ENST00000544884.5	9
ENSG00000007202.15	13	ENST00000580882.5	2
ENSG00000007255.10	22	ENST00000006275.8	15
ENSG00000007255.10	22	ENST00000585934.1	3
ENSG00000007255.10	22	ENST00000592647.1	4
ENSG00000007264.15	4	ENST00000310132.11	4
ENSG00000007312.13	1	ENST00000006750.8	1
ENSG00000007314.12	3	ENST00000435607.3	2
ENSG00000007314.12	3	ENST00000581514.1	1
ENSG00000007341.19	13	ENST00000343210.11	1
ENSG00000007341.19	13	ENST00000358039.9	8
ENSG00000007341.19	13	ENST00000360743.8	1
ENSG00000007341.19	13	ENST00000369669.5	1
ENSG00000007341.19	13	ENST00000485753.5	1
ENSG00000007341.19	13	ENST00000490067.5	1
ENSG00000007376.8	1	ENST00000567283.5	1
ENSG00000007384.15	5	ENST00000428730.5	5
ENSG00000007392.17	41	ENST00000293872.13	22
ENSG00000007392.17	41	ENST00000337351.8	5
ENSG00000007392.17	41	ENST00000397780.5	1
ENSG00000007392.17	41	ENST00000397783.5	2
ENSG00000007392.17	41	ENST00000418978.5	2
ENSG00000007392.17	41	ENST00000419516.5	1
ENSG00000007392.17	41	ENST00000443357.5	1
