width	numreads.median	iread_fpkm_allintron_lwm	interest_fpkm_allintron_lwm	superintronic_score_allintron_lwm	kma_tpm_allintron_lwm	irfinders_irratio_allintron_lwm	majiq_meanpsi_allintron_lwm	rmats_inclvl_allintron_lwm	suppa2_psi_allintron_lwm	intron	transcript	intron_position_in_tx	max_intron_persistence	motif	canonical_motif	gene_id	long_reads_per_gene	long_reads_per_transcript	short_read_gene_median_coverage	IRFinder-S_true_positives	IRFinder-S_false_positives	IRFinder-S_false_negatives	superintronic_true_positives	superintronic_false_positives	superintronic_false_negatives	iREAD_true_positives	iREAD_false_positives	iREAD_false_negatives	kma_true_positives	kma_false_positives	kma_false_negatives	IntEREst_true_positives	IntEREst_false_positives	IntEREst_false_negatives	rMATS_true_positives	rMATS_false_positives	rMATS_false_negatives	MAJIQ_true_positives	MAJIQ_false_positives	MAJIQ_false_negatives	SUPPA2_true_positives	SUPPA2_false_positives	SUPPA2_false_negatives	chrom	left	right	total_overlapping_features	max_features_per_base	%_bases_overlapped	gc_fract
272.0	6.0	2.25	22.0	0.0	0.0	0.0	0.0	0.0	0.0	chr1:108695771-108696042	ENST00000370025.9	0.25	0.0	GTAG	1	ENSG00000134186.12	78.0	64.0	24.0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	108695771	108696043	0	0	0.0	0.308823529411765
82.0	6.0	4.18	10.0	0.0	0.0	0.0	0.0	1.0	0.0	chr1:108696195-108696276	ENST00000370025.9	0.5	0.03515625	GTAG	1	ENSG00000134186.12	78.0	64.0	24.0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	chr1	108696195	108696277	0	0	0.0	0.2682926829268289
2266.0	6.0	0.77	3.0	2.0	0.0	0.0273998	0.0	1.0	0.0	chr1:108696338-108698603	ENST00000370025.9	0.75	0.05546875	GTAG	1	ENSG00000134186.12	78.0	64.0	24.0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	chr1	108696338	108698604	3	2	0.913945278022948	0.336716681376876
334.0	6.0	3.15	18.0	0.0	0.0	0.0	0.0	0.0	0.0	chr1:108698828-108699161	ENST00000370025.9	1.0	0.0	GTAG	1	ENSG00000134186.12	78.0	64.0	24.0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	108698828	108699162	0	0	0.0	0.293413173652695
2878.0	15.0	0.0	10.0	1.0	0.0	0.000906847	0.0	0.0	0.0	chr1:11013966-11016843	ENST00000315091.7	0.0	0.0	GTAG	1	ENSG00000120948.18	374.0	15.0	1304.0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	11013966	11016844	2	1	0.08860319666435024	0.4325920778318279
1725.0	7.0	0.0	74.0	3.0	0.0	1.0	0.0	0.0	0.0	chr1:11017008-11018732	ENST00000611963.4	0.0	0.0	GTAG	1	ENSG00000120948.18	374.0	7.0	1304.0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	11017008	11018733	1	1	0.0463768115942029	0.455652173913044
1725.0	7.0	0.0	74.0	3.0	0.0	1.0	0.0	0.0	0.0	chr1:11017008-11018732	ENST00000315091.7	0.25	0.0	GTAG	1	ENSG00000120948.18	374.0	15.0	1304.0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	11017008	11018733	1	1	0.0463768115942029	0.455652173913044
1555.0	7.0	0.0	83.0	4.0	0.0	0.00471983	0.0	0.0	0.0	chr1:11018874-11020428	ENST00000611963.4	0.25	0.0	GTAG	1	ENSG00000120948.18	374.0	7.0	1304.0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	11018874	11020429	1	1	0.2012861736334405	0.4128617363344049
1555.0	7.0	0.0	83.0	4.0	0.0	0.00471983	0.0	0.0	0.0	chr1:11018874-11020428	ENST00000315091.7	0.5	0.0	GTAG	1	ENSG00000120948.18	374.0	15.0	1304.0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	chr1	11018874	11020429	1	1	0.2012861736334405	0.4128617363344049
1524.0	8.5	0.0	142.0	12.0	0.0	0.00471983	0.0113	0.0	0.0	chr1:11020600-11022123	ENST00000614494.1	0.0	0.0	GTAG	1	ENSG00000120948.18	374.0	10.0	1304.0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	chr1	11020600	11022124	0	0	0.0	0.467191601049869
